pok_id,pok_num,pok_nom,poke_imag,pok_tipo,,pok_altura,pok_peso
77,77,Ponyta,http://www.serebii.net/pokemongo/pokemon/077.png,Fire,,0.99 m,30.0 kg
78,78,Rapidash,http://www.serebii.net/pokemongo/pokemon/078.png,Fire,,1.70 m,95.0 kg
79,79,Slowpoke,http://www.serebii.net/pokemongo/pokemon/079.png,Water,,1.19 m,36.0 kg
80,80,Slowbro,http://www.serebii.net/pokemongo/pokemon/080.png,Water,,1.60 m,78.5 kg
81,81,Magnemite,http://www.serebii.net/pokemongo/pokemon/081.png,Electric,,0.30 m,6.0 kg
82,82,Magneton,http://www.serebii.net/pokemongo/pokemon/082.png,Electric,,0.99 m,60.0 kg
83,83,Farfetch'd,http://www.serebii.net/pokemongo/pokemon/083.png,Normal,,0.79 m,15.0 kg
84,84,Doduo,http://www.serebii.net/pokemongo/pokemon/084.png,Normal,,1.40 m,39.2 kg
85,85,Dodrio,http://www.serebii.net/pokemongo/pokemon/085.png,Normal,,1.80 m,85.2 kg
86,86,Seel,http://www.serebii.net/pokemongo/pokemon/086.png,Water,,1.09 m,90.0 kg
87,87,Dewgong,http://www.serebii.net/pokemongo/pokemon/087.png,Water,,1.70 m,120.0 kg
88,88,Grimer,http://www.serebii.net/pokemongo/pokemon/088.png,Poison,,0.89 m,30.0 kg
89,89,Muk,http://www.serebii.net/pokemongo/pokemon/089.png,Poison,,1.19 m,30.0 kg
90,90,Shellder,http://www.serebii.net/pokemongo/pokemon/090.png,Water,,0.30 m,4.0 kg
91,91,Cloyster,http://www.serebii.net/pokemongo/pokemon/091.png,Water,,1.50 m,132.5 kg
92,92,Gastly,http://www.serebii.net/pokemongo/pokemon/092.png,Ghost,,1.30 m,0.1 kg
93,93,Haunter,http://www.serebii.net/pokemongo/pokemon/093.png,Ghost,,1.60 m,0.1 kg
94,94,Gengar,http://www.serebii.net/pokemongo/pokemon/094.png,Ghost,,1.50 m,40.5 kg
95,95,Onix,http://www.serebii.net/pokemongo/pokemon/095.png,Rock,,8.79 m,210.0 kg
96,96,Drowzee,http://www.serebii.net/pokemongo/pokemon/096.png,Psychic,,0.99 m,32.4 kg
97,97,Hypno,http://www.serebii.net/pokemongo/pokemon/097.png,Psychic,,1.60 m,75.6 kg
98,98,Krabby,http://www.serebii.net/pokemongo/pokemon/098.png,Water,,0.41 m,6.5 kg
99,99,Kingler,http://www.serebii.net/pokemongo/pokemon/099.png,Water,,1.30 m,60.0 kg
100,100,Voltorb,http://www.serebii.net/pokemongo/pokemon/100.png,Electric,,0.51 m,10.4 kg
101,101,Electrode,http://www.serebii.net/pokemongo/pokemon/101.png,Electric,,1.19 m,66.6 kg
102,102,Exeggcute,http://www.serebii.net/pokemongo/pokemon/102.png,Grass,,0.41 m,2.5 kg
103,103,Exeggutor,http://www.serebii.net/pokemongo/pokemon/103.png,Grass,,2.01 m,120.0 kg
104,104,Cubone,http://www.serebii.net/pokemongo/pokemon/104.png,Ground,,0.41 m,6.5 kg
105,105,Marowak,http://www.serebii.net/pokemongo/pokemon/105.png,Ground,,0.99 m,45.0 kg
106,106,Hitmonlee,http://www.serebii.net/pokemongo/pokemon/106.png,Fighting,,1.50 m,49.8 kg
107,107,Hitmonchan,http://www.serebii.net/pokemongo/pokemon/107.png,Fighting,,1.40 m,50.2 kg
108,108,Lickitung,http://www.serebii.net/pokemongo/pokemon/108.png,Normal,,1.19 m,65.5 kg
109,109,Koffing,http://www.serebii.net/pokemongo/pokemon/109.png,Poison,,0.61 m,1.0 kg
110,110,Weezing,http://www.serebii.net/pokemongo/pokemon/110.png,Poison,,1.19 m,9.5 kg
111,111,Rhyhorn,http://www.serebii.net/pokemongo/pokemon/111.png,Ground,,0.99 m,115.0 kg
112,112,Rhydon,http://www.serebii.net/pokemongo/pokemon/112.png,Ground,,1.91 m,120.0 kg
113,113,Chansey,http://www.serebii.net/pokemongo/pokemon/113.png,Normal,,1.09 m,34.6 kg
114,114,Tangela,http://www.serebii.net/pokemongo/pokemon/114.png,Grass,,0.99 m,35.0 kg
115,115,Kangaskhan,http://www.serebii.net/pokemongo/pokemon/115.png,Normal,,2.21 m,80.0 kg
116,116,Horsea,http://www.serebii.net/pokemongo/pokemon/116.png,Water,,0.41 m,8.0 kg
117,117,Seadra,http://www.serebii.net/pokemongo/pokemon/117.png,Water,,1.19 m,25.0 kg
118,118,Goldeen,http://www.serebii.net/pokemongo/pokemon/118.png,Water,,0.61 m,15.0 kg
119,119,Seaking,http://www.serebii.net/pokemongo/pokemon/119.png,Water,,1.30 m,39.0 kg
120,120,Staryu,http://www.serebii.net/pokemongo/pokemon/120.png,Water,,0.79 m,34.5 kg
121,121,Starmie,http://www.serebii.net/pokemongo/pokemon/121.png,Water,,1.09 m,80.0 kg
122,122,Mr. Mime,http://www.serebii.net/pokemongo/pokemon/122.png,Psychic,,1.30 m,54.5 kg
123,123,Scyther,http://www.serebii.net/pokemongo/pokemon/123.png,Bug,,1.50 m,56.0 kg
124,124,Jynx,http://www.serebii.net/pokemongo/pokemon/124.png,Ice,,1.40 m,40.6 kg
125,125,Electabuzz,http://www.serebii.net/pokemongo/pokemon/125.png,Electric,,1.09 m,30.0 kg
126,126,Magmar,http://www.serebii.net/pokemongo/pokemon/126.png,Fire,,1.30 m,44.5 kg
127,127,Pinsir,http://www.serebii.net/pokemongo/pokemon/127.png,Bug,,1.50 m,55.0 kg
128,128,Tauros,http://www.serebii.net/pokemongo/pokemon/128.png,Normal,,1.40 m,88.4 kg
129,129,Magikarp,http://www.serebii.net/pokemongo/pokemon/129.png,Water,,0.89 m,10.0 kg
130,130,Gyarados,http://www.serebii.net/pokemongo/pokemon/130.png,Water,,6.50 m,235.0 kg
131,131,Lapras,http://www.serebii.net/pokemongo/pokemon/131.png,Water,,2.49 m,220.0 kg
132,132,Ditto,http://www.serebii.net/pokemongo/pokemon/132.png,Normal,,0.30 m,4.0 kg
133,133,Eevee,http://www.serebii.net/pokemongo/pokemon/133.png,Normal,,0.30 m,6.5 kg
134,134,Vaporeon,http://www.serebii.net/pokemongo/pokemon/134.png,Water,,0.99 m,29.0 kg
135,135,Jolteon,http://www.serebii.net/pokemongo/pokemon/135.png,Electric,,0.79 m,24.5 kg
136,136,Flareon,http://www.serebii.net/pokemongo/pokemon/136.png,Fire,,0.89 m,25.0 kg
137,137,Porygon,http://www.serebii.net/pokemongo/pokemon/137.png,Normal,,0.79 m,36.5 kg
138,138,Omanyte,http://www.serebii.net/pokemongo/pokemon/138.png,Rock,,0.41 m,7.5 kg
139,139,Omastar,http://www.serebii.net/pokemongo/pokemon/139.png,Rock,,0.99 m,35.0 kg
140,140,Kabuto,http://www.serebii.net/pokemongo/pokemon/140.png,Rock,,0.51 m,11.5 kg
141,141,Kabutops,http://www.serebii.net/pokemongo/pokemon/141.png,Rock,,1.30 m,40.5 kg
142,142,Aerodactyl,http://www.serebii.net/pokemongo/pokemon/142.png,Rock,,1.80 m,59.0 kg
143,143,Snorlax,http://www.serebii.net/pokemongo/pokemon/143.png,Normal,,2.11 m,460.0 kg
144,144,Articuno,http://www.serebii.net/pokemongo/pokemon/144.png,Ice,,1.70 m,55.4 kg
145,145,Zapdos,http://www.serebii.net/pokemongo/pokemon/145.png,Electric,,1.60 m,52.6 kg
146,146,Moltres,http://www.serebii.net/pokemongo/pokemon/146.png,Fire,,2.01 m,60.0 kg
147,147,Dratini,http://www.serebii.net/pokemongo/pokemon/147.png,Dragon,,1.80 m,3.3 kg
148,148,Dragonair,http://www.serebii.net/pokemongo/pokemon/148.png,Dragon,,3.99 m,16.5 kg
149,149,Dragonite,http://www.serebii.net/pokemongo/pokemon/149.png,Dragon,,2.21 m,210.0 kg
150,150,Mewtwo,http://www.serebii.net/pokemongo/pokemon/150.png,Psychic,,2.01 m,122.0 kg
151,151,Mew,http://www.serebii.net/pokemongo/pokemon/151.png,Psychic,,0.41 m,4.0 kg
